"","Site","Zone","Easting","Northing","Lat","Long","Elevation","Species.Tent","Unique.Site","Wet.Mass.Pre.Analysis..grams.","Notes","Cleaned","Distance.to.Edge","Distance.to.Cent.EV","Cent_Elkview","Cent_Line_Creek","Cent_Line_Creek_Processing_Plant","Elkview_Azimuth","LineCreek_Azimuth","LineCreekProp_Azimuth","Au","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Ce","Co","Cr","Cs","Cu","Fe","Ga","Ge","Hf","Hg","In","K","La","Li","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Pd","Pt","Rb","Re","S","Sb","Sc","Se","Sn","Sr","Ta","Te","Th","Ti","Tl","U","V","W","Y","Zn","Zr"
"1",2,"11U",659292,5523583,-114.784425489695,49.8434822992811,1522,"Hylocomium splendins",2,54,NA,"y",5746,11392.77,11343.1007287708,12119.7536177746,6301.43754,"12.573526870687401","185.62425618882699","130.26347476389401",3e-04,0.0616666666666667,0.07,0.62,0.666666666666667,89.3,0.0866666666666667,0.0236666666666667,0.266666666666667,0.241333333333333,1.28166666666667,1.081,2.58333333333333,0.168,4.49333333333333,1056.66666666667,0.232666666666667,0.0436666666666667,0.0256666666666667,0.06,0.00166666666666667,0.283333333333333,0.629,0.3,0.087,53.7333333333333,0.543333333333333,0,0.084,5.30666666666667,0.0933333333333333,1.82,0,0.000666666666666667,3.46666666666667,0.001,0.0566666666666667,0.24,0.243333333333333,0.482333333333333,0.04,13.7166666666667,0.002,0.00333333333333333,0.0946666666666667,0.001,0.0376666666666667,0.126,5.68333333333333,0.0433333333333333,0.995,27.0666666666667,1.17
"2",5,"11U",658413,5521398,-114.797534309353,49.824077221152,1489,"Hylocomium splendins",3,45,NA,"y",3451,9147.862,9042.2404776345,14378.3386892728,7334.13679,"9.7225003456663206","188.52530914137699","148.17801312715201",4e-04,0.048,0.06,0.65,4,55.6,0.07,0.017,0.77,0.203,1.18,0.714,1.88,0.125,3.71,880,0.199,0.03,0.017,0.049,0,0.39,0.652,0.3,0.135,51.1,0.57,0,0.058,3.61,0.145,1.14,0,0.003,2.06,0.001,0.06,0.17,0.14,0.352,0.03,10.25,0.002,0.005,0.064,0.001,0.024,0.089,4.03,0.03,0.99,15.4,0.89
"3",7,"11U",655505,5524230,-114.836798679935,49.850291921728,1283,"Hylocomium splendins",5,13,NA,"y",5573,12243.97,11899.0299393463,12340.0165522546,3476.85565,"353.739269101731","203.67039648490601","162.573660720898",0.000566666666666667,0.0543333333333333,0.0533333333333333,0.663333333333333,7.66666666666667,85.8,0.0633333333333333,0.0176666666666667,0.626666666666667,0.269,1.16666666666667,0.810333333333333,2.26333333333333,0.108666666666667,3.7,933.333333333333,0.167333333333333,0.0326666666666667,0.0183333333333333,0.0483333333333333,0,0.486666666666667,0.583,0.466666666666667,0.191,99.1666666666667,0.833333333333333,0,0.0533333333333333,3.64666666666667,0.152666666666667,1.31666666666667,0,0.000666666666666667,2.67333333333333,0.00133333333333333,0.08,0.193333333333333,0.216666666666667,0.325,0.0366666666666667,13.75,0.00166666666666667,0,0.109333333333333,0.001,0.025,0.099,3.60333333333333,0.0366666666666667,0.873333333333333,30.7333333333333,0.886666666666667
"4",10,"11U",652207,5525608,-114.882101554613,49.8635243319182,1206,"Pleurozium schreberi",6,42,NA,"y",7856,14580.13,14059.7459484472,12804.5643404054,2883.79245,"341.09876988699602","219.88002087260099","230.22101757147101",4e-04,0.026,0.06,0.34,6,43.2,0.05,0.012,0.69,0.137,0.951,0.387,1.96,0.085,2.59,750,0.163,0.013,0.015,0.037,0,0.52,0.468,0.4,0.142,89.1,0.28,0,0.045,1.87,0.154,0.96,0,0.001,2.96,0,0.06,0.1,0.13,0.146,0.03,13.1,0.001,0,0.06,0.001,0.013,0.044,2.06,0.05,0.436,38.7,0.59
"6",12,"11U",652824,5517035,-114.87689901877,49.7863119397279,1150,"Pleurozium schreberi",8,27,NA,"y",2331,7091.59,6304.52655186618,20017.4297334112,10595.172,"318.38367129636998","203.08417030271701","190.029077014607",2e-04,0.043,0.05,0.39,5,78.2,0.06,0.023,0.59,0.208,1.005,0.536,1.51,0.096,4.38,1020,0.172,0.023,0.017,0.046,0,0.49,0.491,0.4,0.164,68.4,0.5,0,0.053,2.45,0.153,1.44,0,0,2.25,0,0.08,0.21,0.14,0.334,0.04,16.85,0.002,0,0.04,0.001,0.021,0.082,3.18,0.09,0.668,47.2,0.78
"7",13,"11U",652791,5514894,-114.878197933867,49.7670765452784,1139,"Hylocomium splendins",9,75,NA,"y",2177,5895.89,4996.34024589267,22036.1185169728,12721.3986,"301.00851059513099","201.13413554770099","188.76919368290899",5e-04,0.038,0.0466666666666667,0.43,1.66666666666667,56.8,0.0633333333333333,0.0233333333333333,0.43,0.147,0.968333333333333,0.556333333333333,2.47,0.098,4.11333333333333,1073.33333333333,0.184666666666667,0.0406666666666667,0.0216666666666667,0.0473333333333333,0,0.306666666666667,0.479666666666667,0.266666666666667,0.105,68.0666666666667,0.716666666666667,0.000333333333333333,0.0643333333333333,2.74666666666667,0.105666666666667,1.57666666666667,0.000333333333333333,0.000333333333333333,2.3,0.000333333333333333,0.0566666666666667,0.353333333333333,0.203333333333333,0.338,0.0533333333333333,13.7833333333333,0.002,0,0.0653333333333333,0.001,0.031,0.0856666666666667,3.62666666666667,0.113333333333333,0.619666666666667,29.4,1.01666666666667
"8",16,"11U",650515,5512792,-114.910594620263,49.7487571612563,1274,"Pleurozium schreberi",10,11,NA,"y",4441,7568.65,6640.6052221989,24818.0858272764,15221.5479,"274.65334544341903","204.47735001854301","196.310871393323",4e-04,0.041,0.05,0.35,1,108,0.04,0.019,0.56,0.182,0.836,0.419,1.57,0.099,3.79,710,0.131,0.016,0.017,0.06,0,0.53,0.411,0.3,0.136,89.7,0.43,0,0.05,1.8,0.172,1.35,0,0.001,4.07,0,0.07,0.11,0.13,0.204,0.05,10.35,0.002,0,0.068,0.002,0.02,0.054,2.26,0.07,0.401,31.1,0.69
"9",17,"11U",650899,5509409,-114.906576732204,49.7182529860383,1166,"Pleurozium schreberi",11,17,NA,"y",5087,7711.29,6946.65819097108,27838.8301503554,18438.3461,"245.73838937143901","201.05099527714199","192.49077485458301",2e-04,0.034,0.06,0.48,3,64.3,0.05,0.02,0.62,0.185,1.04,0.398,2.67,0.111,2.84,850,0.17,0.019,0.016,0.047,0,0.34,0.529,0.3,0.129,91.2,0.35,0,0.058,2.12,0.117,1.52,0,0,4.53,0,0.05,0.17,0.14,0.213,0.05,12.65,0.002,0,0.06,0.001,0.033,0.066,2.87,0.1,0.534,39.3,0.77
"10",19,"11U",659341,5504370,-114.791604425966,49.6707882033344,1364,"Pleurozium schreberi",12,16,NA,"y",1540,7991.08,8369.64391496622,31315.7980029837,23675.9912,"166.457543513882","183.13060519500601","169.51769915570401",4e-04,0.043,0.05,0.56,2,63.1,0.04,0.014,0.44,0.288,0.764,0.386,1.49,0.091,3.17,680,0.14,0.017,0.014,0.079,0.005,0.42,0.371,0.3,0.1,209,0.26,0,0.043,1.81,0.139,1.15,0,0.001,2.52,0,0.07,0.11,0.12,0.188,0.03,11.15,0.001,0,0.045,0.001,0.032,0.051,2.21,0.06,0.386,31.2,0.57
"11",20,"11U",664908,5519897,-114.707944738123,49.8088370589558,1692,"Pleurozium schreberi",13,19,NA,"y",7187,10257.56,10760.5531100858,16488.2747594494,13005.4144,"47.836926430666402","164.82384177426499","127.506485324579",7e-04,0.085,0.07,0.53,1,106.5,0.08,0.025,0.45,0.301,1.225,0.804,2.39,0.178,4.73,1050,0.228,0.047,0.021,0.091,0,0.6,0.626,0.3,0.143,158,0.54,0,0.087,4.35,0.166,1.88,0,0,11.2,0,0.08,0.24,0.21,0.555,0.04,12.65,0.002,0.005,0.078,0.001,0.054,0.13,5.74,0.03,0.824,30.3,1.05
