"","Au","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Ce","Co","Cr","Cs","Cu","Fe","Ga","Ge","Hf","Hg","In","K","La","Li","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Pd","Pt","Rb","Re","S","Sb","Sc","Se","Sn","Sr","Ta","Te","Th","Ti","Tl","U","V","W","Y","Zn","Zr"
"min",2e-04,0.016,0.03,0.17,0,31.7,0.02,0.009,0.266666666666667,0.096,0.517,0.213,1.37,0.066,1.92,370,0.089,0.009,0.006,0.031,0,0.283333333333333,0.253,0.2,0.087,37,0.09,0,0.029,1.43,0.078,0.63,0,0,1.51,0,0.04,0.05,0.1,0.094,0.02,7.51,0.001,0,0.028,0.001,0.011,0.025,1.03,0.02,0.226,13.5,0.28
"max",0.0036,0.085,0.29,1.06,9,115.2,0.18,0.039,1.02,0.454,5.01,1.5,5.35,0.264,5.32,3460,0.721,0.047,0.044,0.098,0.005,0.72,2.45,2.9,0.209,395,2.52,0.001,0.143,5.63,0.221,2.42,0.001,0.003,12.45,0.00133333333333333,0.11,0.353333333333333,0.36,0.555,0.0533333333333333,20.7,0.002,0.005,0.204,0.002,0.084,0.13,6.51,0.17,2.32,47.2,2.06
"Background Value in Fernie (mg/kg)",0.0036,0.02,0.06,0.31,3,35,0.03,0.017,0.69,0.315,0.938,0.325,2.13,0.084,3.2,670,0.158,0.014,0.012,0.037,0,0.38,0.462,0.4,0.101,52.1,1.64,0,0.05,1.52,0.152,1,0,0,1.84,0,0.06,0.1,0.1,0.094,0.05,10.7,0.002,0,0.035,0.002,0.021,0.032,1.66,0.15,0.367,23.1,0.53
"var",5.14984649122807e-07,0.000336027119883041,0.00287148391812865,0.0378239766081871,8.5125,723.557763157895,0.0011783918128655,4.3012865497076e-05,0.0289425438596491,0.00713268969298246,0.869422479532164,0.0944293321637427,0.739741951754386,0.0030437259502924,0.879869378654971,391256.220760234,0.0168776768274854,0.000134945906432749,6.00479532163743e-05,0.000432370979532164,1.34502923976608e-06,0.0139528874269006,0.208051581871345,0.332581140350877,0.00135362105263158,6615.64227777778,0.417057975146199,9.67836257309942e-08,0.000621827192982456,1.64188768274854,0.00144380292397661,0.218022302631579,5.38011695906433e-08,5.27119883040936e-07,9.11292415204678,1.72149122807018e-07,0.000257163742690058,0.00559587719298246,0.00387748538011696,0.0176974441520468,9.72514619883041e-05,9.89612985380117,2.23976608187135e-07,3.64766081871345e-06,0.00145124093567251,1.70394736842105e-07,0.00029831432748538,0.00114165051169591,2.36879616959064,0.00216312865497076,0.204519675730994,66.2113274853801,0.146420723684211
"median",0.000475,0.041,0.0541666666666667,0.41,3,59.95,0.05,0.0173333333333333,0.59,0.213,0.959666666666667,0.421,1.92,0.0985,3.45,770,0.163,0.018,0.0165,0.0471666666666667,0,0.405,0.465,0.3,0.1355,89.4,0.42,0,0.0531666666666667,2.105,0.15225,1.33333333333333,0,0.000416666666666667,3.165,0,0.06,0.115,0.145,0.2085,0.04,12.875,0.00158333333333333,0,0.0646666666666667,0.001,0.0235,0.0615,2.725,0.05,0.534,30.8666666666667,0.73
"mean",0.000634166666666667,0.0411416666666667,0.0659166666666667,0.451666666666667,3.525,67.425,0.0561666666666667,0.0184,0.584166666666667,0.222708333333333,1.13933333333333,0.556966666666667,2.09758333333333,0.123025,3.53941666666667,918.916666666667,0.189491666666667,0.0235833333333333,0.0171,0.0535416666666667,0.000333333333333333,0.444583333333333,0.5645,0.469166666666667,0.1356,106.585,0.66225,0.000116666666666667,0.05735,2.66041666666667,0.142866666666667,1.34691666666667,6.66666666666667e-05,0.000558333333333333,4.083,0.000208333333333333,0.0658333333333333,0.146833333333333,0.168333333333333,0.259816666666667,0.0386666666666667,13.2995,0.00153333333333333,0.000916666666666667,0.0719,0.001225,0.02925,0.071075,3.09183333333333,0.0701666666666667,0.64705,29.86,0.77875
"SD",0.000717624309177725,0.0183310425203544,0.0535862288104757,0.194483872360119,2.91761889217903,26.8990290374559,0.034327712024915,0.00655841943589124,0.170125082982049,0.0844552526074161,0.932428270448812,0.307293560237996,0.86008252613013,0.0551699732670988,0.938013527970131,625.504772771746,0.129914113272906,0.0116166219888894,0.00774906144099879,0.0207935321562298,0.0011597539565641,0.118122340930497,0.456126716901504,0.576698483048878,0.0367915894279057,81.3365986366394,0.645800259481365,0.000311100668162243,0.0249364631209491,1.28136165181753,0.0379974068059467,0.46692858408067,0.00023195079131282,0.000726030221850947,3.0187620230894,0.000414908571623939,0.0160363257228724,0.0748055960004494,0.0622694578434481,0.133031741144912,0.00986161558712892,3.14581147779093,0.000473261669890067,0.00190988502761644,0.038095156328233,0.000412788973740948,0.0172717783532959,0.0337883191605606,1.53908939623098,0.0465094469432906,0.452238516416939,8.13703431757419,0.382649609544046
"CV",1.1316020644064,0.445559064703773,0.812938995860567,0.430591599321297,0.827693302745825,0.398947408786887,0.611175881749229,0.356435838907133,0.291226960882253,0.37921909496314,0.81839813087959,0.551727021793038,0.41003497332492,0.448445220622628,0.265019243652239,0.680698038746799,0.685592752220796,0.492577610836299,0.453161487777707,0.388361690077444,3.4792618696923,0.265692238269159,0.808018984767944,1.22919747719121,0.271324405810514,0.763114872042402,0.975160829718936,2.66657715567637,0.434811911437648,0.481639461920448,0.265964116700514,0.34666479050721,3.4792618696923,1.30035263615095,0.7393490137373,1.99156114379491,0.243589757815783,0.509459223612595,0.369917571347216,0.512021583725364,0.255041782425748,0.236536071114774,0.308648915145696,2.08351093921793,0.529835275775147,0.336970590808937,0.590488148830628,0.475389647000501,0.49779183749587,0.662842474251172,0.698923601602564,0.272506172725191,0.491363864583044
"Skewness",3.76670693116871,0.647805509148884,3.91385594343052,1.53181256157699,0.59855630635429,0.476232061919547,2.40234953051928,1.45096777069002,0.395451040864708,0.770048680143822,3.81920532490186,1.68581923110963,2.82297759754022,1.28080680746657,0.184306888311573,3.54914471198859,3.6420975693056,0.674574779903848,2.07915748878729,1.07656798660182,3.57707006671446,0.695753598552451,3.76817840564092,4.02290201449995,0.346253976209562,2.39024847399142,1.87017994061364,2.44203886230226,2.14750439908823,1.06285918697142,0.319058288742994,0.596135828215226,3.57707006671446,1.90453727112906,1.79652636512092,1.74433491092963,1.03642087171834,1.04020801748381,1.48607183850941,0.726554681480037,-0.0999085819485601,0.507363595665993,-0.151129537388373,1.59704803314632,2.08377463515689,1.31423304175852,1.78053585685715,0.453734146058722,0.796134129476627,0.821647155221394,2.65607765443604,-0.117826701850066,1.85370517826987
"Kurtosis",16.1867133175805,2.81574169723529,16.9593906518066,5.81574346981599,2.17363958232443,1.91914764063012,9.6014164321153,5.90623703856953,3.65285771481622,3.94000236806206,16.4750761440129,5.61402553171274,11.4417407383791,3.49014340308053,1.93398173234109,15.1415671900169,15.5593558291561,2.14058292779203,8.45901657803767,2.91769909909823,14.6275992438563,2.6912119554338,16.2020842373684,17.4956498517703,2.05739946745498,9.01582002222023,5.32150731686993,7.23356851434361,8.07828085030499,3.03770320911311,2.92891357469927,2.77338626531714,14.6275992438563,7.30727008562417,5.2128172363097,4.52993360109266,4.09195654541688,3.92445663172329,5.40854388052698,2.41119985147801,1.8493908486825,2.90055978876308,1.18657840737888,3.6618206352585,8.31006672173226,2.83771857903132,6.16149326891909,1.96633012119326,2.6866445312302,2.32800202349162,10.5176442381422,3.0264954202853,7.32642321929308
