"","Au","Ag","Al","As","B","Ba","Be","Bi","Ca","Cd","Ce","Co","Cr","Cs","Cu","Fe","Ga","Ge","Hf","Hg","In","K","La","Li","Mg","Mn","Mo","Na","Nb","Ni","P","Pb","Pd","Pt","Rb","Re","S","Sb","Sc","Se","Sn","Sr","Ta","Te","Th","Ti","Tl","U","V","W","Y","Zn","Zr"
"min",2e-04,0.016,0.03,0.17,0,31.7,0.02,0.009,0.266666666666667,0.096,0.517,0.213,1.37,0.066,1.92,370,0.089,0.009,0.006,0.031,0,0.283333333333333,0.253,0.2,0.087,37,0.09,0,0.029,1.43,0.078,0.63,0,0,1.51,0,0.05,0.05,0.1,0.094,0.02,7.51,0.001,0,0.028,0.001,0.011,0.025,1.03,0.02,0.226,13.5,0.28
"max",0.0036,0.085,0.07,0.663333333333333,9,115.2,0.0866666666666667,0.025,0.77,0.454,1.28166666666667,1.081,2.67,0.221,5.32,1073.33333333333,0.232666666666667,0.047,0.0256666666666667,0.098,0.005,0.72,0.652,0.5,0.209,395,2.04,0.001,0.087,5.30666666666667,0.221,2.14,0.000333333333333333,0.003,12.45,0.00133333333333333,0.11,0.353333333333333,0.243333333333333,0.555,0.0533333333333333,20.7,0.002,0.005,0.109333333333333,0.002,0.084,0.13,5.74,0.17,0.995,47.2,1.17
"Background Value in Fernie (mg/kg)",0.0036,0.02,0.06,0.31,3,35,0.03,0.017,0.69,0.315,0.938,0.325,2.13,0.084,3.2,670,0.158,0.014,0.012,0.037,0,0.38,0.462,0.4,0.101,52.1,1.64,0,0.05,1.52,0.152,1,0,0,1.84,0,0.06,0.1,0.1,0.094,0.05,10.7,0.002,0,0.035,0.002,0.021,0.032,1.66,0.15,0.367,23.1,0.53
"var",5.40388239116309e-07,0.000354694119558155,9.4558154645874e-05,0.018283820662768,7.23245614035088,760.660350877193,0.000347092267706303,2.05860948667966e-05,0.0194422352176738,0.00752765383365822,0.0415798427550357,0.0476688641975308,0.162229710851202,0.00205060250162443,0.871367657569851,35384.2267706303,0.00129479288499025,0.000142432748538012,2.10675763482781e-05,0.000434059616634178,1.41325536062378e-06,0.0136688271604938,0.0117088188758934,0.00550519818063678,0.00135553801169591,6905.63104613385,0.238401250812216,1.01364522417154e-07,0.000227371832358674,1.21740628654971,0.00151540497076023,0.162795012995452,5.84795321637427e-09,5.38174139051332e-07,9.58946853476283,1.79174788823912e-07,0.000232423651721897,0.00586465237166992,0.00194459064327485,0.0185524600389864,9.51429499675114e-05,9.60124816439246,2.19785575048733e-07,2.87524366471735e-06,0.000511373619233268,1.44736842105263e-07,0.000287222871994802,0.00100202550357375,1.81712909356725,0.00199811565951917,0.0522116049382716,69.8137345679012,0.0585551169590643
"median",5e-04,0.041,0.0533333333333333,0.39,3,56.8,0.05,0.017,0.59,0.208,0.951,0.419,1.88,0.098,3.2,760,0.163,0.017,0.016,0.0473333333333333,0,0.42,0.462,0.3,0.135,89.1,0.41,0,0.053,2.09,0.152,1.31666666666667,0,5e-04,2.96,0,0.06,0.11,0.14,0.204,0.04,12.65,0.00166666666666667,0,0.064,0.001,0.023,0.057,2.58,0.05,0.534,30.7333333333333,0.69
"mean",0.000646491228070175,0.0411491228070175,0.0541228070175439,0.419649122807018,3.23684210526316,67.0421052631579,0.0496491228070175,0.0173157894736842,0.561228070175439,0.222956140350877,0.935614035087719,0.507333333333333,1.92640350877193,0.115605263157895,3.48728070175439,785.175438596491,0.161517543859649,0.0235614035087719,0.0156842105263158,0.0545701754385965,0.000350877192982456,0.451666666666667,0.465263157894737,0.341228070175439,0.133736842105263,104.668421052632,0.564473684210526,0.00012280701754386,0.0528421052631579,2.50412280701754,0.142228070175439,1.29043859649123,1.75438596491228e-05,0.000587719298245614,4.12052631578947,0.000219298245614035,0.0671929824561403,0.148245614035088,0.158245614035088,0.262280701754386,0.0380701754385965,13.0994736842105,0.00156140350877193,0.000701754385964912,0.0649473684210526,0.00118421052631579,0.0281052631578947,0.0679736842105263,2.9119298245614,0.0664912280701754,0.559,29.8,0.711315789473684
"SD",0.00073511103863043,0.0188333247080316,0.00972410173979448,0.135217678810014,2.68932261737986,27.5800716256719,0.018630412440585,0.00453719019513141,0.139435415937536,0.0867620529589879,0.203911360044103,0.218332004519564,0.402777495462696,0.0452835787192712,0.933470758818856,188.10695566786,0.0359832306080243,0.0119345192001191,0.00458994295697431,0.0208340974518739,0.0011888041725296,0.116913759500299,0.108207295853345,0.0741970227208395,0.0368176318045567,83.1001266312745,0.488263505509285,0.000318377955293946,0.0150788538144872,1.10336135810065,0.0389282027681761,0.403478640073364,7.64719112901873e-05,0.000733603529879275,3.09668670271354,0.000423290430820154,0.0152454469177488,0.076581018350959,0.0440975128921672,0.136207415506596,0.00975412476686204,3.09858809208202,0.000468812942492774,0.00169565434706409,0.0226135715718077,0.000380442955126341,0.0169476509285152,0.0316547864243901,1.34800930767085,0.0447002870183086,0.228498588482011,8.35546136176221,0.241981645913619
"CV",1.137078133024,0.457684718975827,0.179667357915165,0.322216040642591,0.830847637889714,0.411384331047077,0.375241522654891,0.262026181481753,0.248446974318211,0.389144038923737,0.217943887540106,0.430352177108207,0.209082621386764,0.391708625388642,0.267678698290403,0.239573153235795,0.222782180487415,0.506528365157699,0.292647369739973,0.381785421879702,3.38809189170935,0.258849652030183,0.232572242218729,0.21744114627701,0.275299096531514,0.793936946746224,0.86498896080899,2.59250620739356,0.28535679529408,0.440617910195376,0.273702671492049,0.312667833378856,4.35889894354067,1.24822093143638,0.751526981115815,1.9302043645399,0.226890463266758,0.516582017278658,0.278664992777553,0.519319243068625,0.256214337194072,0.236542945677039,0.30025098564144,2.41630744456633,0.348183030684235,0.321262939884466,0.603006306445297,0.465691786344105,0.462926440156878,0.672273445921792,0.408763127874797,0.280384609455108,0.340188773389476
"Skewness",3.65422363920378,0.630185615237056,-0.489634324047376,0.364439195852,0.657860660826791,0.508755188475846,0.248158166432748,0.0413635832679102,-0.471956977029147,0.74195030283935,-0.239282164976369,1.08230279805766,0.394615760701147,1.23587246920429,0.301801273871886,-0.185875111188942,0.133771775780234,0.663225636868592,0.0683855811735065,1.02613272102338,3.46633795098492,0.658555183715785,0.0166600382765845,0.43734731563313,0.470601940902238,2.43537539859414,2.05606927993968,2.35165230168493,0.756465965916394,1.08655392374067,0.362471861321704,0.337260063353545,4.00693842672377,1.85305854015459,1.72253035462636,1.6633663302731,1.27706605693903,0.970415605726843,0.454274617346427,0.662062598441886,-0.00993358150301499,0.65513270536115,-0.265081926872981,2.00796632829855,0.131258871369283,1.62377111244576,2.08000209269649,0.518088645716646,0.735826061840588,1.0146770491709,0.614691896837904,-0.0930422908192102,0.157532908234696
"Kurtosis",15.306258084337,2.67394600976863,3.43330647899995,2.31686370990669,2.39673810212372,1.86557907431214,2.24244234660369,2.04903762187493,2.47954928292047,3.73553059522353,2.52054246935433,3.58936043527819,1.9927757927154,3.29221521872008,2.06237642338781,2.70424572725698,2.97475705416516,2.03883054646567,3.03268618704831,2.79535564400254,13.812326595323,2.67803970621247,2.46892257739998,2.70393918463402,2.20310191484163,8.983769482468,6.38499215124668,6.79043392504931,3.26466400470919,3.27658200130147,2.83635140064308,2.40069923967951,17.0555555555555,7.08528508963536,4.89605050570095,4.24145925272623,4.30046493419385,3.70537789549994,1.92605025579884,2.27028868562441,1.91220973990866,3.27636814743626,1.24862136043251,5.21004500622426,2.11170818937088,3.79568411386593,7.42467217593466,2.14536608000726,2.698572355954,2.83865248096638,2.32658965727824,2.8783412792959,2.08114560353862
