"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 00:00","2022","05","01","00:00","4.9","","1.6","","79","","","M","9","","7","","","M","88.50","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 01:00","2022","05","01","01:00","4.7","","1.6","","81","","","M","4","","7","","","M","88.50","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 02:00","2022","05","01","02:00","4.6","","1.7","","82","","","M","4","","6","","","M","88.50","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 03:00","2022","05","01","03:00","4.0","","2.0","","87","","","M","6","","3","","","M","88.51","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 04:00","2022","05","01","04:00","3.9","","2.3","","89","","","M","35","","5","","","M","88.50","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 05:00","2022","05","01","05:00","4.0","","2.4","","90","","","M","6","","5","","","M","88.52","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 06:00","2022","05","01","06:00","3.9","","2.4","","90","","","M","4","","5","","","M","88.55","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 07:00","2022","05","01","07:00","5.3","","1.7","","78","","","M","32","","7","","","M","88.56","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 08:00","2022","05","01","08:00","6.3","","1.6","","72","","","M","35","","8","","","M","88.53","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 09:00","2022","05","01","09:00","7.5","","1.9","","68","","","M","3","","11","","","M","88.49","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 10:00","2022","05","01","10:00","8.1","","1.4","","63","","","M","34","","10","","","M","88.49","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 11:00","2022","05","01","11:00","9.2","","0.8","","56","","","M","3","","8","","","M","88.46","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 12:00","2022","05","01","12:00","10.0","","0.7","","52","","","M","27","","7","","","M","88.42","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 13:00","2022","05","01","13:00","10.1","","-0.1","","49","","","M","29","","1","","","M","88.38","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 14:00","2022","05","01","14:00","11.0","","0.9","","50","","","M","10","","10","","","M","88.34","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 15:00","2022","05","01","15:00","11.4","","0.8","","48","","","M","10","","8","","","M","88.31","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 16:00","2022","05","01","16:00","11.4","","0.2","","46","","","M","33","","3","","","M","88.25","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 17:00","2022","05","01","17:00","11.8","","0.9","","47","","","M","25","","3","","","M","88.24","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 18:00","2022","05","01","18:00","11.3","","0.9","","49","","","M","22","","2","","","M","88.21","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 19:00","2022","05","01","19:00","8.5","","1.4","","61","","","M","34","","4","","","M","88.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 20:00","2022","05","01","20:00","6.8","","1.3","","68","","","M","1","","7","","","M","88.20","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 21:00","2022","05","01","21:00","4.2","","0.8","","78","","","M","28","","3","","","M","88.19","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 22:00","2022","05","01","22:00","3.6","","0.1","","78","","","M","36","","2","","","M","88.17","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-01 23:00","2022","05","01","23:00","3.0","","0.2","","82","","","M","4","","7","","","M","88.15","","","","","","NA"
"-114.88","49.83","SPARWOOD A","1157635","2022-05-02 00:00","2022","05","02","00:00","2.5","","-0.4","","82","","","M","1","","5","","","M","88.13","","","","","","NA"
